Date,Open,High,Low,Close,Adj Close,Volume
3/17/2003,7857.96,8145.84,7779.73,8141.92,8141.92,"356,750,000"
3/18/2003,8142.69,8209.36,8096.12,8194.23,8194.23,"302,750,000"
3/19/2003,8193.04,8277.64,8141.5,8265.45,8265.45,"277,110,000"
3/20/2003,8264.68,8318.81,8130.86,8286.6,8286.6,"266,450,000"
3/21/2003,8290.38,8522.18,8290.38,8521.97,8521.97,"360,490,000"
3/24/2003,8514.82,8514.82,8185.2,8214.68,8214.68,"259,460,000"
3/25/2003,8216.85,8337.72,8180.72,8280.23,8280.23,"258,050,000"
3/26/2003,8279.88,8284.99,8187.73,8229.88,8229.88,"227,160,000"
3/27/2003,8226.39,8251.8,8104.05,8201.45,8201.45,"225,400,000"
3/28/2003,8198.85,8205.09,8105.79,8145.77,8145.77,"187,980,000"
3/31/2003,8142.83,8142.83,7929.31,7992.13,7992.13,"301,270,000"
4/1/2003,7992.83,8100.53,7979.69,8069.86,8069.86,"263,590,000"
4/2/2003,8069.86,8316.58,8069.86,8285.06,8285.06,"289,360,000"
4/3/2003,8285.76,8335.62,8237.54,8240.38,8240.38,"258,180,000"
4/4/2003,8240.59,8305.86,8215.1,8277.15,8277.15,"246,900,000"
4/7/2003,8284.15,8520.21,8284.15,8300.41,8300.41,"285,610,000"
4/8/2003,8299.12,8342.83,8260.48,8298.92,8298.92,"229,810,000"
4/9/2003,8299.28,8388.33,8195.14,8197.94,8197.94,"261,020,000"
4/10/2003,8198.99,8225.04,8145.87,8221.33,8221.33,"206,280,000"
4/11/2003,8223.22,8337.58,8179.88,8203.41,8203.41,"214,360,000"
4/14/2003,8203.97,8351.94,8201.55,8351.1,8351.1,"199,690,000"
4/15/2003,8347.66,8402.43,8307.54,8402.36,8402.36,"255,820,000"
4/16/2003,8405.72,8446.47,8233.73,8257.61,8257.61,"303,520,000"
4/17/2003,8255.79,8347.45,8235.41,8337.65,8337.65,"246,320,000"
4/21/2003,8336.67,8397.95,8301.94,8328.9,8328.9,"175,900,000"
4/22/2003,8326.38,8487.51,8263.98,8484.99,8484.99,"250,980,000"
4/23/2003,8484.92,8526.38,8451.45,8515.66,8515.66,"271,240,000"
4/24/2003,8512.44,8512.44,8395.7,8440.04,8440.04,"239,460,000"
4/25/2003,8438.98,8439.33,8288.49,8306.35,8306.35,"226,270,000"
4/28/2003,8306.84,8501.66,8305.03,8471.61,8471.61,"214,870,000"
4/29/2003,8472.88,8559.77,8442.34,8502.99,8502.99,"236,500,000"
4/30/2003,8501.38,8528.75,8432.12,8480.09,8480.09,"252,910,000"
5/1/2003,8478.48,8488.35,8340.23,8454.25,8454.25,"198,580,000"
5/2/2003,8453.48,8593.25,8409.29,8582.68,8582.68,"216,790,000"
5/5/2003,8583.17,8601.94,8511.11,8531.57,8531.57,"200,340,000"
5/6/2003,8531.28,8641.22,8525.75,8588.36,8588.36,"225,340,000"
5/7/2003,8585.42,8635.06,8529.04,8560.63,8560.63,"210,880,000"
5/8/2003,8558.67,8575.11,8477.36,8491.22,8491.22,"192,890,000"
5/9/2003,8492.69,8612.79,8492.69,8604.6,8604.6,"19,950,000"
5/12/2003,8603.9,8743.47,8569.44,8726.73,8726.73,"224,780,000"
5/13/2003,8722.88,8723.29,8647.6,8679.25,8679.25,"194,040,000"
5/14/2003,8673.29,8728.41,8608.31,8647.82,8647.82,"202,190,000"
