Date,Open,High,Low,Close,Adj Close,Volume
4/11/2023,185.91,186.51,185.64,186.28,186.28,6031500
4/10/2023,185.18,185.36,184.19,185.11,185.11,6408100
4/6/2023,186.89,187.26,185.95,186.49,186.49,6648400
4/5/2023,188.34,188.86,186.78,187.83,187.83,11440800
4/4/2023,184.72,188.23,184.66,187.98,187.98,13765400
4/3/2023,183.85,185.04,183.32,184.54,184.54,9206600
3/31/2023,184.11,184.42,182.8,183.22,183.22,8000400
3/30/2023,182.75,184.44,182.55,184.18,184.18,6360300
3/29/2023,182.49,183.27,182.24,182.53,182.53,4996500
3/28/2023,182.31,183.62,182.12,183.44,183.44,6202600
3/27/2023,181.15,182.15,180.69,181.95,181.95,6925000
3/24/2023,185.61,185.99,183.62,183.65,183.65,9253100
3/23/2023,183.91,186.24,183.6,185.74,185.74,11347100
3/22/2023,180.4,183.94,180.28,183.44,183.44,11969600
3/21/2023,182.65,182.73,179.9,180.37,180.37,10734500
3/20/2023,184.19,184.54,182.74,183.84,183.84,11845700
3/17/2023,181.02,184.81,180.77,183.77,183.77,24156300
3/16/2023,179.51,179.65,177.87,178.57,178.57,10762200
3/15/2023,178.86,180.13,177.49,178.21,178.21,14546100
3/14/2023,177.35,177.59,176.21,176.83,176.83,10019000
3/13/2023,176.66,178.02,176.3,177.86,177.86,20554400
3/10/2023,171.93,173.88,171.92,173.87,173.87,13803400
3/9/2023,169.75,170.65,169.71,170.2,170.2,5583000
3/8/2023,168.61,169.59,168.52,168.54,168.54,5718600
3/7/2023,170.42,170.47,168.52,168.62,168.62,8713300
3/6/2023,172.32,172.37,171.54,171.62,171.62,4264100
3/3/2023,171.45,172.6,170.98,172.49,172.49,6894500
3/2/2023,170.52,170.98,170.36,170.66,170.66,3950700
3/1/2023,170.95,171.49,170.47,170.76,170.76,6590500
2/28/2023,168.78,170.25,168.59,169.78,169.78,6761600
2/27/2023,168.88,169.23,168.55,169.01,169.01,4509200
2/24/2023,168.42,168.84,168.19,168.35,168.35,6496500
2/23/2023,169.84,170.13,169.08,169.57,169.57,5073500
2/22/2023,170.81,170.96,169.56,169.66,169.66,4105700
2/21/2023,171.2,171.5,170.34,170.62,170.62,4035900
2/17/2023,169.87,171.47,169.52,171.26,171.26,4809800
2/16/2023,170.34,171.6,169.96,170.75,170.75,4540400
2/15/2023,170.6,170.99,170.16,170.89,170.89,5423800
2/14/2023,171.97,173.51,171.41,172.61,172.61,5403100
2/13/2023,172.7,172.9,172.07,172.48,172.48,3970800
2/10/2023,173.63,173.68,172.63,173.36,173.36,2971100
2/9/2023,175.49,175.52,172.87,173.03,173.03,5361300
2/8/2023,174.94,174.99,173.83,174.41,174.41,4075600
