Date,Open,High,Low,Close,Adj Close,Volume
4/11/2023,1776.90,1794.45,1776.90,1786.59,1786.59,3665830000.00
4/10/2023,1749.31,1773.23,1745.46,1772.44,1772.44,3423650000.00
4/6/2023,1753.11,1758.43,1744.50,1754.46,1754.46,3486690000.00
4/5/2023,1764.22,1764.22,1742.78,1752.13,1752.13,3968020000.00
4/4/2023,1804.48,1806.70,1760.99,1769.65,1769.65,4227800000.00
4/3/2023,1804.02,1812.37,1783.47,1802.31,1802.31,4234700000.00
3/31/2023,1775.05,1802.70,1775.05,1802.48,1802.48,4525120000.00
3/30/2023,1778.68,1787.64,1762.34,1768.38,1768.38,3930860000.00
3/29/2023,1763.13,1771.71,1759.05,1771.60,1771.60,4145250000.00
3/28/2023,1749.63,1759.47,1745.13,1752.63,1752.63,4014600000.00
3/27/2023,1747.93,1762.65,1742.06,1753.67,1753.67,4233540000.00
3/24/2023,1711.45,1735.76,1695.23,1734.92,1734.92,4583970000.00
3/23/2023,1733.50,1758.91,1706.34,1720.29,1720.29,4991600000.00
3/22/2023,1776.51,1779.72,1726.61,1727.36,1727.36,4533010000.00
3/21/2023,1761.87,1788.37,1761.87,1777.74,1777.74,4920240000.00
3/20/2023,1733.51,1761.74,1733.51,1744.99,1744.99,5347140000.00
3/17/2023,1765.16,1765.16,1720.92,1725.89,1725.89,9354280000.00
3/16/2023,1733.50,1781.10,1717.59,1771.24,1771.24,5695790000.00
3/15/2023,1763.72,1763.72,1716.67,1745.94,1745.94,6594010000.00
3/14/2023,1770.65,1802.12,1760.08,1776.89,1776.89,5665870000.00
3/13/2023,1755.04,1773.53,1722.85,1744.30,1744.30,6558020000.00
3/10/2023,1821.68,1821.68,1756.82,1772.70,1772.70,5518190000.00
3/9/2023,1879.22,1883.02,1826.29,1826.59,1826.59,4445260000.00
3/8/2023,1880.27,1886.54,1866.07,1879.48,1879.48,3535570000.00
3/7/2023,1899.24,1902.11,1875.79,1878.72,1878.72,3922500000.00
3/6/2023,1928.08,1928.70,1892.46,1899.76,1899.76,4000870000.00
3/3/2023,1906.46,1931.72,1901.98,1928.26,1928.26,4084730000.00
3/2/2023,1888.43,1905.35,1877.58,1902.66,1902.66,4244900000.00
3/1/2023,1896.14,1904.44,1888.73,1898.43,1898.43,4249480000.00
2/28/2023,1896.70,1913.18,1896.44,1896.99,1896.99,5043400000.00
2/27/2023,1902.00,1914.60,1891.89,1896.27,1896.27,3836950000.00
2/24/2023,1891.38,1891.62,1875.81,1890.49,1890.49,3877700000.00
2/23/2023,1902.72,1915.31,1884.31,1908.09,1908.09,3952940000.00
2/22/2023,1890.83,1904.48,1885.11,1894.68,1894.68,4079320000.00
2/21/2023,1937.05,1937.05,1888.21,1888.21,1888.21,4121590000.00
2/17/2023,1943.64,1947.85,1928.39,1946.36,1946.36,4045480000.00
2/16/2023,1946.05,1962.46,1933.14,1942.21,1942.21,4143660000.00
2/15/2023,1929.73,1960.97,1924.91,1960.97,1960.97,4075980000.00
2/14/2023,1933.90,1951.98,1920.50,1939.91,1939.91,3929200000.00
2/13/2023,1919.89,1942.70,1913.60,1941.14,1941.14,3448620000.00
2/10/2023,1910.66,1920.85,1903.72,1918.81,1918.81,3891520000.00
2/9/2023,1954.88,1963.85,1912.24,1915.34,1915.34,4270200000.00
2/8/2023,1964.89,1968.92,1940.29,1942.60,1942.60,4029820000.00
2/7/2023,1952.65,1975.83,1936.33,1972.61,1972.61,4355860000.00
2/6/2023,1976.09,1976.09,1952.19,1957.72,1957.72,4114240000.00
2/3/2023,1989.12,2005.55,1976.06,1985.53,1985.53,4694510000.00
2/2/2023,1968.03,2007.31,1968.03,2001.22,2001.22,5624360000.00
2/1/2023,1929.47,1976.87,1921.52,1960.81,1960.81,4856930000.00
1/31/2023,1888.83,1931.95,1888.83,1931.94,1931.94,4679320000.00
1/30/2023,1903.10,1909.34,1885.43,1885.72,1885.72,3802000000.00
1/27/2023,1899.82,1918.59,1896.24,1911.46,1911.46,3907760000.00
1/26/2023,1899.88,1909.42,1882.71,1903.06,1903.06,3809590000.00
1/25/2023,1873.62,1890.73,1858.99,1890.32,1890.32,3724020000.00
1/24/2023,1887.81,1892.71,1878.33,1885.61,1885.61,3320430000.00
1/23/2023,1868.96,1896.20,1867.49,1890.77,1890.77,3945210000.00
1/20/2023,1847.68,1867.34,1836.63,1867.34,1867.34,4013360000.00
1/19/2023,1846.35,1846.35,1825.58,1836.35,1836.35,3991500000.00
1/18/2023,1890.09,1903.87,1854.32,1854.36,1854.36,4298710000.00
1/17/2023,1886.64,1892.42,1880.74,1884.29,1884.29,4235560000.00
1/13/2023,1867.50,1889.15,1861.74,1887.03,1887.03,3939700000.00
1/12/2023,1850.25,1876.06,1839.09,1876.06,1876.06,4440260000.00
1/11/2023,1827.12,1844.16,1826.52,1844.05,1844.05,4303360000.00
1/10/2023,1794.29,1822.65,1793.19,1822.65,1822.65,3851030000.00
1/9/2023,1801.07,1817.09,1794.54,1795.91,1795.91,4311770000.00
1/6/2023,1764.33,1795.56,1758.50,1792.80,1792.80,3923560000.00
1/5/2023,1766.08,1766.08,1745.38,1753.19,1753.19,3893450000.00
1/4/2023,1758.09,1781.97,1758.09,1772.54,1772.54,4414080000.00
1/3/2023,1769.75,1785.95,1737.26,1750.73,1750.73,3959140000.00
12/30/2022,1759.26,1763.93,1747.23,1761.25,1761.25,2979870000.00
12/29/2022,1727.33,1767.91,1727.33,1766.25,1766.25,3003680000.00
12/28/2022,1749.93,1753.93,1722.02,1722.02,1722.02,3083520000.00
12/27/2022,1761.38,1761.65,1745.44,1749.52,1749.52,3030300000.00
12/23/2022,1753.20,1761.24,1743.74,1760.93,1760.93,2819280000.00
12/22/2022,1766.67,1766.67,1726.81,1754.09,1754.09,3956950000.00
12/21/2022,1757.69,1784.11,1757.69,1776.94,1776.94,3775200000.00
12/20/2022,1735.47,1755.08,1733.21,1748.02,1748.02,3985370000.00
12/19/2022,1763.94,1765.54,1733.82,1738.58,1738.58,3969610000.00
12/16/2022,1759.55,1765.64,1746.25,1763.42,1763.42,7493660000.00
12/15/2022,1806.74,1806.74,1770.56,1774.61,1774.61,4493900000.00
12/14/2022,1831.23,1845.77,1812.30,1820.45,1820.45,4472340000.00
