,Date,RVXCLS
0,2004-01-02,23.04
1,2004-01-05,21.04
2,2004-01-06,19.42
3,2004-01-07,17.73
4,2004-01-08,20.12
5,2004-01-09,21.53
6,2004-01-12,21.09
7,2004-01-13,21.82
8,2004-01-14,21.73
9,2004-01-15,21.05
10,2004-01-16,19.6
11,2004-01-19,
12,2004-01-20,21.29
13,2004-01-21,21.12
14,2004-01-22,21.3
15,2004-01-23,20.22
16,2004-01-26,20.07
17,2004-01-27,21.46
18,2004-01-28,23.24
19,2004-01-29,23.52
20,2004-01-30,22.5
21,2004-02-02,23.05
22,2004-02-03,23.54
23,2004-02-04,24.77
24,2004-02-05,24.51
25,2004-02-06,22.7
26,2004-02-09,23.77
27,2004-02-10,22.93
28,2004-02-11,22.77
29,2004-02-12,23.16
30,2004-02-13,23.92
31,2004-02-16,
32,2004-02-17,24.2
33,2004-02-18,24.57
34,2004-02-19,24.34
35,2004-02-20,24.3
36,2004-02-23,25.07
37,2004-02-24,24.34
38,2004-02-25,23.41
39,2004-02-26,22.57
40,2004-02-27,21.87
41,2004-03-01,21.89
42,2004-03-02,22.34
43,2004-03-03,22.43
44,2004-03-04,21.75
45,2004-03-05,21.34
46,2004-03-08,22.63
47,2004-03-09,23.3
48,2004-03-10,24.74
49,2004-03-11,26.11
50,2004-03-12,24.48
51,2004-03-15,27.57
52,2004-03-16,26.94
53,2004-03-17,25.62
54,2004-03-18,25.88
55,2004-03-19,25.78
56,2004-03-22,26.05
57,2004-03-23,24.94
58,2004-03-24,26.44
59,2004-03-25,25.03
60,2004-03-26,24.26
61,2004-03-29,23.62
62,2004-03-30,23.46
63,2004-03-31,23.65
64,2004-04-01,23.59
65,2004-04-02,21.93
66,2004-04-05,22.13
67,2004-04-06,22.55
68,2004-04-07,22.24
69,2004-04-08,22.65
70,2004-04-09,
71,2004-04-12,22.66
72,2004-04-13,24.44
73,2004-04-14,24.29
74,2004-04-15,24.12
75,2004-04-16,23.59
76,2004-04-19,22.66
77,2004-04-20,23.57
78,2004-04-21,22.74
79,2004-04-22,21.57
80,2004-04-23,21.51
81,2004-04-26,22.46
82,2004-04-27,22.45
83,2004-04-28,23.84
84,2004-04-29,24.83
85,2004-04-30,25.41
86,2004-05-03,25.43
87,2004-05-04,24.57
88,2004-05-05,24.13
89,2004-05-06,25.69
90,2004-05-07,26.87
91,2004-05-10,28.81
92,2004-05-11,28.33
93,2004-05-12,28.95
94,2004-05-13,29.81
95,2004-05-14,29.81
96,2004-05-17,32.61
97,2004-05-18,30.2
98,2004-05-19,30.5
99,2004-05-20,29.87
100,2004-05-21,28.43
101,2004-05-24,26.49
102,2004-05-25,24.42
103,2004-05-26,23.86
104,2004-05-27,23.49
105,2004-05-28,23.49
106,2004-05-31,
107,2004-06-01,24.49
108,2004-06-02,24.66
109,2004-06-03,25.56
110,2004-06-04,24.87
111,2004-06-07,23.96
112,2004-06-08,23.5
113,2004-06-09,24.12
114,2004-06-10,23.77
115,2004-06-11,
116,2004-06-14,25.55
117,2004-06-15,24.32
118,2004-06-16,23.89
119,2004-06-17,24.07
120,2004-06-18,23.7
121,2004-06-21,23.37
122,2004-06-22,22.09
123,2004-06-23,21.51
124,2004-06-24,21.62
125,2004-06-25,21.31
126,2004-06-28,22.14
127,2004-06-29,21.69
128,2004-06-30,21.27
129,2004-07-01,21.67
130,2004-07-02,21.45
131,2004-07-05,
132,2004-07-06,23.3
133,2004-07-07,23.11
134,2004-07-08,23.56
135,2004-07-09,22.7
136,2004-07-12,22.6
137,2004-07-13,22.29
138,2004-07-14,22.39
139,2004-07-15,22.28
140,2004-07-16,22.17
141,2004-07-19,22.18
142,2004-07-20,21.39
143,2004-07-21,23.15
144,2004-07-22,23.64
145,2004-07-23,23.62
146,2004-07-26,24.7
147,2004-07-27,23.85
148,2004-07-28,23.91
149,2004-07-29,23.08
150,2004-07-30,23.0
151,2004-08-02,23.46
152,2004-08-03,23.62
153,2004-08-04,23.75
154,2004-08-05,24.82
155,2004-08-06,26.0
156,2004-08-09,26.23
157,2004-08-10,24.83
158,2004-08-11,25.19
159,2004-08-12,26.08
160,2004-08-13,25.91
161,2004-08-16,26.1
162,2004-08-17,25.4
163,2004-08-18,24.08
164,2004-08-19,25.03
165,2004-08-20,23.88
166,2004-08-23,23.99
167,2004-08-24,23.7
168,2004-08-25,22.83
169,2004-08-26,23.2
170,2004-08-27,22.08
171,2004-08-30,23.12
172,2004-08-31,23.0
173,2004-09-01,22.52
174,2004-09-02,22.0
175,2004-09-03,21.71
176,2004-09-06,
177,2004-09-07,22.21
178,2004-09-08,22.66
179,2004-09-09,21.87
180,2004-09-10,21.33
181,2004-09-13,21.17
182,2004-09-14,21.52
183,2004-09-15,21.29
184,2004-09-16,20.77
185,2004-09-17,20.71
186,2004-09-20,20.72
187,2004-09-21,19.96
188,2004-09-22,20.55
189,2004-09-23,20.7
190,2004-09-24,20.3
191,2004-09-27,21.38
192,2004-09-28,20.22
193,2004-09-29,19.47
194,2004-09-30,19.61
195,2004-10-01,18.67
196,2004-10-04,19.23
197,2004-10-05,19.75
198,2004-10-06,19.42
199,2004-10-07,20.52
200,2004-10-08,20.85
201,2004-10-11,20.42
202,2004-10-12,21.19
203,2004-10-13,21.68
204,2004-10-14,22.8
205,2004-10-15,21.82
206,2004-10-18,21.27
207,2004-10-19,21.55
208,2004-10-20,21.08
209,2004-10-21,20.2
210,2004-10-22,21.27
211,2004-10-25,22.56
212,2004-10-26,22.0
213,2004-10-27,21.55
214,2004-10-28,21.98
215,2004-10-29,22.03
216,2004-11-01,22.22
217,2004-11-02,22.59
218,2004-11-03,20.69
219,2004-11-04,19.7
220,2004-11-05,19.34
221,2004-11-08,19.98
222,2004-11-09,19.05
223,2004-11-10,18.59
224,2004-11-11,18.16
225,2004-11-12,17.67
226,2004-11-15,18.03
227,2004-11-16,18.37
228,2004-11-17,18.0
229,2004-11-18,18.12
230,2004-11-19,18.75
231,2004-11-22,18.32
232,2004-11-23,18.04
233,2004-11-24,17.31
234,2004-11-25,
235,2004-11-26,17.6
236,2004-11-29,17.73
237,2004-11-30,18.2
238,2004-12-01,17.3
239,2004-12-02,17.93
240,2004-12-03,17.52
241,2004-12-06,18.68
242,2004-12-07,19.78
243,2004-12-08,19.22
244,2004-12-09,19.05
245,2004-12-10,18.33
246,2004-12-13,17.92
247,2004-12-14,18.08
248,2004-12-15,17.76
249,2004-12-16,17.32
250,2004-12-17,17.14
251,2004-12-20,17.78
252,2004-12-21,16.91
253,2004-12-22,16.76
254,2004-12-23,15.95
255,2004-12-24,
256,2004-12-27,17.46
257,2004-12-28,16.87
258,2004-12-29,17.11
259,2004-12-30,17.24
260,2004-12-31,17.59
261,2005-01-03,18.93
262,2005-01-04,19.56
263,2005-01-05,19.84
264,2005-01-06,19.66
265,2005-01-07,19.76
266,2005-01-10,20.16
267,2005-01-11,20.19
268,2005-01-12,20.03
269,2005-01-13,20.31
270,2005-01-14,19.54
271,2005-01-17,
272,2005-01-18,20.18
273,2005-01-19,20.3
274,2005-01-20,20.82
275,2005-01-21,20.61
276,2005-01-24,21.51
277,2005-01-25,21.0
278,2005-01-26,19.87
279,2005-01-27,19.4
280,2005-01-28,19.09
281,2005-01-31,19.02
282,2005-02-01,18.67
283,2005-02-02,18.08
284,2005-02-03,17.44
285,2005-02-04,16.63
286,2005-02-07,17.04
287,2005-02-08,16.78
288,2005-02-09,17.75
289,2005-02-10,17.74
290,2005-02-11,16.88
291,2005-02-14,17.12
292,2005-02-15,16.63
293,2005-02-16,16.2
294,2005-02-17,16.76
295,2005-02-18,17.36
296,2005-02-21,
297,2005-02-22,18.4
298,2005-02-23,18.24
299,2005-02-24,17.37
300,2005-02-25,17.05
301,2005-02-28,17.73
302,2005-03-01,17.47
303,2005-03-02,18.08
304,2005-03-03,18.24
305,2005-03-04,17.38
306,2005-03-07,17.73
307,2005-03-08,18.32
308,2005-03-09,18.79
309,2005-03-10,18.55
310,2005-03-11,18.77
311,2005-03-14,18.77
312,2005-03-15,18.98
313,2005-03-16,18.98
314,2005-03-17,18.86
315,2005-03-18,19.0
316,2005-03-21,19.06
317,2005-03-22,19.12
318,2005-03-23,18.75
319,2005-03-24,18.24
320,2005-03-25,
321,2005-03-28,18.64
322,2005-03-29,19.15
323,2005-03-30,18.69
324,2005-03-31,19.17
325,2005-04-01,18.77
326,2005-04-04,18.84
327,2005-04-05,18.17
328,2005-04-06,17.8
329,2005-04-07,17.52
330,2005-04-08,17.39
331,2005-04-11,17.01
332,2005-04-12,17.06
333,2005-04-13,17.07
334,2005-04-14,19.78
