,Date,VXAPLCLS
0,2010-06-01,44.97
1,2010-06-02,43.26
2,2010-06-03,40.29
3,2010-06-04,45.4
4,2010-06-07,47.77
5,2010-06-08,47.14
6,2010-06-09,47.41
7,2010-06-10,43.04
8,2010-06-11,40.18
9,2010-06-14,41.08
10,2010-06-15,37.59
11,2010-06-16,37.26
12,2010-06-17,38.01
13,2010-06-18,37.98
14,2010-06-21,38.97
15,2010-06-22,39.5
16,2010-06-23,42.02
17,2010-06-24,43.28
18,2010-06-25,42.16
19,2010-06-28,42.86
20,2010-06-29,48.61
21,2010-06-30,49.24
22,2010-07-01,49.61
23,2010-07-02,47.17
24,2010-07-05,
25,2010-07-06,47.61
26,2010-07-07,43.6
27,2010-07-08,43.66
28,2010-07-09,42.45
29,2010-07-12,41.92
30,2010-07-13,43.71
31,2010-07-14,44.1
32,2010-07-15,46.07
33,2010-07-16,45.11
34,2010-07-19,45.27
35,2010-07-20,41.96
36,2010-07-21,35.84
37,2010-07-22,33.09
38,2010-07-23,31.24
39,2010-07-26,31.07
40,2010-07-27,30.95
41,2010-07-28,30.51
42,2010-07-29,30.9
43,2010-07-30,31.57
44,2010-08-02,30.22
45,2010-08-03,29.94
46,2010-08-04,30.14
47,2010-08-05,30.47
48,2010-08-06,29.85
49,2010-08-09,29.88
50,2010-08-10,29.88
51,2010-08-11,33.47
52,2010-08-12,33.28
53,2010-08-13,33.13
54,2010-08-16,32.43
55,2010-08-17,31.67
56,2010-08-18,31.62
57,2010-08-19,32.45
58,2010-08-20,31.49
59,2010-08-23,33.69
60,2010-08-24,36.32
61,2010-08-25,36.6
62,2010-08-26,35.97
63,2010-08-27,34.65
64,2010-08-30,35.25
65,2010-08-31,34.61
66,2010-09-01,31.14
67,2010-09-02,29.86
68,2010-09-03,28.62
69,2010-09-06,
70,2010-09-07,31.17
71,2010-09-08,30.78
72,2010-09-09,30.8
73,2010-09-10,30.82
74,2010-09-13,29.81
75,2010-09-14,29.4
76,2010-09-15,29.51
77,2010-09-16,31.15
78,2010-09-17,31.05
79,2010-09-20,31.54
80,2010-09-21,32.43
81,2010-09-22,33.07
82,2010-09-23,34.17
83,2010-09-24,34.25
84,2010-09-27,34.68
85,2010-09-28,35.38
86,2010-09-29,35.48
87,2010-09-30,35.92
88,2010-10-01,35.57
89,2010-10-04,36.5
90,2010-10-05,36.13
91,2010-10-06,36.52
92,2010-10-07,36.28
93,2010-10-08,36.03
94,2010-10-11,36.89
95,2010-10-12,36.0
96,2010-10-13,35.93
97,2010-10-14,36.45
98,2010-10-15,42.34
99,2010-10-18,45.44
100,2010-10-19,33.75
101,2010-10-20,30.19
102,2010-10-21,29.26
103,2010-10-22,29.11
104,2010-10-25,29.19
105,2010-10-26,29.71
106,2010-10-27,30.31
107,2010-10-28,30.94
108,2010-10-29,32.58
109,2010-11-01,32.03
110,2010-11-02,31.66
111,2010-11-03,29.97
112,2010-11-04,29.75
113,2010-11-05,30.89
114,2010-11-08,30.61
115,2010-11-09,29.42
116,2010-11-10,28.89
117,2010-11-11,30.55
118,2010-11-12,33.87
119,2010-11-15,33.13
120,2010-11-16,33.41
121,2010-11-17,32.97
122,2010-11-18,30.01
123,2010-11-19,30.58
124,2010-11-22,30.03
125,2010-11-23,32.85
126,2010-11-24,30.69
127,2010-11-25,
128,2010-11-26,31.91
129,2010-11-29,33.05
130,2010-11-30,35.24
131,2010-12-01,31.74
132,2010-12-02,30.71
133,2010-12-03,29.41
134,2010-12-06,29.56
135,2010-12-07,29.25
136,2010-12-08,28.6
137,2010-12-09,28.81
138,2010-12-10,28.98
139,2010-12-13,27.06
140,2010-12-14,25.08
141,2010-12-15,24.95
142,2010-12-16,25.12
143,2010-12-17,25.2
144,2010-12-20,25.7
145,2010-12-21,25.52
146,2010-12-22,26.3
147,2010-12-23,26.84
148,2010-12-24,
149,2010-12-27,32.42
150,2010-12-28,32.77
151,2010-12-29,31.96
152,2010-12-30,32.35
153,2010-12-31,34.29
154,2011-01-03,32.73
155,2011-01-04,32.49
156,2011-01-05,31.83
157,2011-01-06,31.92
158,2011-01-07,31.57
159,2011-01-10,32.7
160,2011-01-11,31.77
161,2011-01-12,30.16
162,2011-01-13,30.45
163,2011-01-14,29.75
164,2011-01-17,
165,2011-01-18,34.26
166,2011-01-19,29.27
167,2011-01-20,28.79
168,2011-01-21,31.03
169,2011-01-24,28.84
170,2011-01-25,27.96
171,2011-01-26,26.77
172,2011-01-27,26.53
173,2011-01-28,28.73
174,2011-01-31,27.43
