Date,Open,High,Low,Close,Adj Close,Volume
4/29/2013,111.480003,111.5,110.940002,110.989998,98.953514,3196800
5/6/2013,110.940002,111,110.349998,110.480003,98.677559,3611500
5/13/2013,110.349998,110.580002,110.099998,110.309998,98.525726,5072200
5/20/2013,110.32,110.480003,109.800003,109.879997,98.14164,5584100
5/27/2013,109.769997,109.779999,108.879997,109.110001,97.453911,5370000
6/3/2013,108.790001,109.089996,108.540001,108.610001,97.007309,6731400
6/10/2013,108.349998,109,108,108.779999,97.333099,5980300
6/17/2013,108.849998,108.940002,106.529999,106.610001,95.391449,8774600
6/24/2013,106.010002,107.349998,105.82,107.209999,95.928314,8961800
7/1/2013,106.919998,107.309998,105.82,105.839996,94.702492,3506200
7/8/2013,106.110001,107.139999,106.110001,106.809998,95.747238,4745400
7/15/2013,106.919998,107.550003,106.830002,107.519997,96.383728,3177000
7/22/2013,107.529999,107.690002,106.949997,107.260002,96.150658,3831800
7/29/2013,107.260002,107.339996,106.400002,106.849998,95.783081,4488300
8/5/2013,106.93,107.209999,106.739998,107.150002,96.235909,3461400
8/12/2013,107.269997,107.269997,105.730003,105.830002,95.050339,3537600
8/19/2013,105.790001,105.93,105.330002,105.900002,95.11322,3849600
8/26/2013,106.110001,106.519997,106,106.209999,95.391655,4393900
9/2/2013,105.629997,105.959999,104.879997,105.279999,94.556366,3589300
9/9/2013,105.599998,105.830002,105.25,105.690002,95.101913,5342900
9/16/2013,106.279999,106.989998,105.800003,106.769997,96.073685,3989600
9/23/2013,106.800003,107.360001,106.720001,107.290001,96.541603,3237700
9/30/2013,107.290001,107.330002,106.860001,107.059998,96.334656,5759000
10/7/2013,107.230003,107.269997,106.75,107.07,96.51561,4962200
10/14/2013,107.099998,107.82,106.739998,107.760002,97.137581,3794200
10/21/2013,107.709999,108.160004,107.580002,108.010002,97.362923,4018400
10/28/2013,108,108.209999,107.410004,107.449997,96.858147,5005600
11/4/2013,107.550003,107.599998,106.760002,106.82,96.460289,3453000
11/11/2013,106.82,107.389999,106.669998,107.360001,96.947922,6376500
11/18/2013,107.43,107.57,106.800003,107.239998,96.839554,5826300
11/25/2013,107.25,107.519997,107.209999,107.440002,97.020164,4207200
12/2/2013,107.099998,107.120003,106.449997,106.629997,96.288704,8969000
12/9/2013,106.699997,107.07,106.57,106.650002,96.316803,14098300
12/16/2013,106.919998,107.099998,106.470001,106.860001,96.506477,7022200
12/23/2013,106.860001,106.970001,105.349998,106.43,96.118126,4686400
12/30/2013,106.510002,106.629997,106.370003,106.540001,96.407524,8146900
1/6/2014,106.529999,107.099998,106.400002,107.099998,96.914253,9074200
