stock,direction,LastSale
PIH,positive,7.2
PIHPP,positive,25.5
TURN,positive,2.1675
FLWS,negative,12.8
FCCY,negative,21.45
SRCE,positive,54.56
VNET,positive,10
TWOU,negative,93.15
JOBS,positive,90.45
EGHT,positive,20.95
AVHI,negative,21.75
SHLM,negative,43.05
AAON,positive,35.7
ABAX,negative,83.28
ABEO,positive,14.2
ABEOW,negative,11.16
ABIL,positive,5.0473
ABMD,positive,419.38
AXAS,positive,2.77
ACIU,positive,12.35
ACIA,negative,33.72
ACTG,negative,3.85
ACHC,positive,42.9
ACAD,positive,16.87
ACST,negative,0.57
AXDX,positive,21.35
XLRN,positive,45.96
ANCX,negative,28.61
ARAY,negative,3.85
ACRX,positive,3.1
ACER,negative,22.545
ACET,positive,3.27
AKAO,negative,7.06
ACHV,positive,3.45
ACHN,positive,3.03
ACIW,positive,26.24
ACRS,positive,20.5
ACMR,negative,12.34
ACNB,negative,34.4
ACOR,positive,30
ATVI,positive,80.23
ACXM,negative,41.91
ADMS,positive,27.38
ADMP,positive,3.95
ADAP,negative,10.96
ADUS,negative,60.4
AEY,positive,1.45
IOTS,negative,5.7
ADMA,positive,4.59
ADBE,negative,254.68
ADOM,positive,0.69
ADTN,positive,16
ADRO,positive,6.95
ADES,positive,11.4
AEIS,negative,58.96
AMD,negative,16.58
ADXS,positive,1.44
ADXSW,positive,0.1315
ADVM,negative,5.2
DWMC,positive,24.45
DWSH,positive,24.96
ACT,negative,25.9942
AEGN,negative,25.27
AGLE,positive,9.14
AEHR,negative,2.67
AMTX,positive,1.51
AERI,negative,73
AVAV,positive,71.96
ARPO,positive,4.19
AEZS,positive,1.92
AEMD,positive,1.28
GNMX,negative,0.84
AFMD,negative,1.75
AGEN,positive,2.08
AGRX,positive,0.5119
AGYS,negative,16.5
AGIO,positive,90.01
AGMH,positive,16.63
AGNC,negative,19.06
AGNCB,negative,25.82
AGNCN,positive,25.83
AGFS,negative,7
AGFSW,positive,0.32
ALRN,negative,4.85
AIMT,positive,29.11
AIRT,positive,33.5
ATSG,positive,22.94
AIRG,positive,10.48
AMCN,negative,0.551
AKAM,negative,77.68
AKTX,positive,2.16
AKCA,positive,28.47
AKBA,negative,10.05
AKER,positive,0.3799
AKRX,positive,16.84
AKTS,negative,8.84
ALRM,negative,43.42
ALSK,positive,1.68
ALBO,negative,33.56
ABDC,positive,6.2
ALDR,negative,18.85
ALDX,positive,7.95
ALXN,positive,134.58
ALCO,positive,32.45
ALGN,positive,362.28
ALIM,negative,1.01
ALJJ,negative,2.02
ALKS,positive,44.57
ABTX,positive,44
