Academic Year,TAP College Code,Federal School Code,TAP College Name ,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2020,10,2666,ADELPHI UNIVERSITY 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1343,1247.89,3827369
2020,2000,2860,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,603,459.94,1247648
2020,995,2885,ALBANY COLLEGE OF PHARMACY 4YR UG,PRIVATE,5-INDEPENDENT,163,162.45,449133
2020,20,2668,ALFRED UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,442,395.17,1217828
2020,7952,10813,AMERICAN ACADEMY MCALLISTER INST.,PRIVATE,6-BUS. DEGREE,36,27.32,80168
2020,1075,7465,AMERICAN ACAD OF DRAMATIC ARTS,PRIVATE,5-INDEPENDENT,3,3.06,12364
2020,25,6435,ARNOT OGDEN MED CTR NURSING 4YR,PRIVATE,8-OTHER,2,1.37,4640
2020,1620,6435,ARNOT OGDEN MED CTR RAD TECH 2YR,PRIVATE,8-OTHER,1,1.03,5076
2020,7725,30955,ASA INSTITUTE OF BUSINESS,PRIVATE,6-BUS. DEGREE,946,772.03,2364703
2020,1525,30955,ASA INST OF BUS NURSING PROGRAM,PRIVATE,5-INDEPENDENT,8,4.07,15489
2020,8201,11208,ASSOCIATED BETH RIVKAH SCHOOL,PRIVATE,9-CHAPTER XXII,72,74.68,316876
2020,8202,42678,BAIS BINYOMIN ACADEMY,PRIVATE,9-CHAPTER XXII,19,17.86,63916
2020,8274,26229,BAIS MEDROSH ELYON,PRIVATE,9-CHAPTER XXII,1,0.54,2795
2020,35,2671,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,215,210.32,715889
2020,155,2708,BARNARD COLLEGE,PRIVATE,5-INDEPENDENT,224,209.3,794971
2020,8204,41928,BE'ER YAAKOV TALMUDIC SEMINARY,PRIVATE,9-CHAPTER XXII,438,449.69,2066953
2020,8206,37133,BEIS MEDRASH HEICHAL DOVID,PRIVATE,9-CHAPTER XXII,30,31.39,109562
2020,7030,8556,BERKELEY COLLEGE 2YR,PRIVATE,6-BUS. DEGREE,266,193.23,743979
2020,6730,8556,BERKELEY COLLEGE 4YR,PRIVATE,6-BUS. DEGREE,534,477.22,1695148
2020,8209,11192,BETH HAMEDRASH SHAAREI YOSHER,PRIVATE,9-CHAPTER XXII,36,38.96,182427
2020,8211,42104,BETH MEDRASH MEOR YITZCHOK,PRIVATE,9-CHAPTER XXII,61,63.31,295172
2020,8207,42272,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,49,48.7,179816
2020,2262,13029,BORICUA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,369,295.61,1197859
2020,2025,2862,BROOME COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1141,880.97,2631036
2020,7730,2678,BRYANT & STRATTON ALBANY,PRIVATE,6-BUS. DEGREE,192,148.42,574291
2020,6830,2678,BRYANT & STRATTON BBA ALBANY,PRIVATE,6-BUS. DEGREE,4,4.14,12174
2020,6836,2678,BRYANT & STRATTON BBA SYRACUSE,PRIVATE,6-BUS. DEGREE,21,15.51,66202
2020,6732,2678,BRYANT & STRATTON BUFFALO,PRIVATE,6-BUS. DEGREE,208,163.84,556868
2020,7732,2678,BRYANT & STRATTON BUFFALO,PRIVATE,6-BUS. DEGREE,968,785.86,3143383
2020,6734,2678,BRYANT & STRATTON GREECE,PRIVATE,6-BUS. DEGREE,12,7.93,28226
2020,7734,2678,BRYANT & STRATTON ROCHESTER,PRIVATE,6-BUS. DEGREE,185,145.57,560140
2020,7736,2678,BRYANT & STRATTON SYRACUSE,PRIVATE,6-BUS. DEGREE,305,240.72,956340
2020,90,2681,CANISIUS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,567,529.78,1489683
2020,7901,41256,CAREER SCHOOL OF NY INC,PRIVATE,7-BUS. NON-DEG,21,27.67,101187
2020,2005,2861,CAYUGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,544,421.93,1247622
2020,2035,2685,CAZENOVIA COLLEGE,PRIVATE,5-INDEPENDENT,304,281.1,918018
2020,8223,42432,CENTRAL YESHIVA BETH JOSEPH,PRIVATE,9-CHAPTER XXII,2,1.62,8212
2020,1610,11614,CHAMPLAIN VALLEY SCH XRAY TECH,PRIVATE,8-OTHER,4,5.49,12098
2020,120,2699,CLARKSON UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,563,520.19,1266738
2020,2036,6787,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,211,159.61,512307
2020,125,2701,COLGATE UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,162,159.9,458460
2020,140,2705,COLLEGE OF SAINT ROSE 4YR UG,PRIVATE,5-INDEPENDENT,727,657.17,1939635
2020,7124,5208,COLL WESTCHESTER 2YR,PRIVATE,6-BUS. DEGREE,163,147.55,597116
2020,7121,5208,COLL WESTCHESTER 2YR EVE,PRIVATE,6-BUS. DEGREE,94,64.04,236018
2020,6124,5208,COLL WESTCHESTER 4YR BBA DAY,PRIVATE,6-BUS. DEGREE,205,212.54,790916
2020,6121,5208,COLL WESTCHESTER 4YR BBA EVE,PRIVATE,6-BUS. DEGREE,59,45.51,140294
2020,6122,5208,COLL WESTCHESTER EVE BACH ONLINE,PRIVATE,6-BUS. DEGREE,23,16.03,40661
2020,7131,5208,COLL WESTCHESTER ONLINE ASSOC EVE,PRIVATE,6-BUS. DEGREE,24,17.07,59594
2020,130,2703,COL OF MT ST VINCENT 4YR SEM,PRIVATE,5-INDEPENDENT,958,856.92,3018145
2020,2038,6789,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,127,95.96,277545
2020,171,2707,COLUMBIA UNIV,PRIVATE,5-INDEPENDENT,441,406.41,1463958
2020,2040,2709,CONCORDIA COLLEGE,PRIVATE,5-INDEPENDENT,212,166.73,544289
2020,8224,42769,CONGREGATION TALMIDEI MESIVTA TIF,PRIVATE,9-CHAPTER XXII,92,97.41,466313
2020,170,2710,COOPER UNION ADVNCMT SCI ART,PRIVATE,5-INDEPENDENT,101,100.83,310730
2020,175,2711,CORNELL UNIVERSITY,PRIVATE,5-INDEPENDENT,506,349.34,1181936
2020,174,2711,CORNELL UNIV STATUTORY COLLEGES,PUBLIC,3-SUNY SO,327,260.03,913351
2020,2042,2863,CORNING COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,492,392.06,1182950
2020,190,6445,CROUSE IRVING HOSP SCH OF NURSING,PRIVATE,5-INDEPENDENT,31,18.59,54423
2020,8226,4776,CTL YESH TOMCHEI TMIMIM LUBAVITZ,PRIVATE,9-CHAPTER XXII,14,13.53,66489
2020,2045,7304,CULINARY INSTITUTE OF AMERICA 2YR,PRIVATE,5-INDEPENDENT,42,33.1,105801
2020,6045,7304,CULINARY INSTITUTE OF AMERICA 4YR,PRIVATE,5-INDEPENDENT,81,78.93,277029
2020,1409,7273,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,6649,5663.5,20962484
2020,1400,2692,CUNY BRONX CC,PUBLIC,2-CUNY CC,3364,2425.81,8869843
2020,1410,2687,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,6996,5751.69,21550974
